,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
106,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],403,Knows,Octavio Gomez,Daniel Gonzales,1,Calvin Johnson (I),95,95,
107,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],404,Knows,Octavio Gomez,Manny Gonzales,1,Calvin Johnson (I),95,95,
108,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],432,Knows,Octavio Gomez,Sixto (Octavio Gomez's Uncle),1,Calvin Johnson (I),94,94,
109,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],732,Exchange,Octavio Gomez,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",1,Octavio Gomez (III),171,173,
110,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],733,Knows,Octavio Gomez,Octavio Gomez's Father,1,Octavio Gomez (III),171,172,
111,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],736,Knows,Octavio Gomez,Sixto (Octavio Gomez's Uncle),1,Octavio Gomez (III),172,172,
112,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],738,Knows of,Octavio Gomez,Josefina's Father,0,Octavio Gomez (III),172,173,
113,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],740,Knows of,Octavio Gomez,Josefina's Mother,0,Octavio Gomez (III),172,173,
114,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],745,Knows of,Octavio Gomez,Josefina's love interest,0,Octavio Gomez (III),172,172,
115,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],747,Knows of,Octavio Gomez,Josefina's Uncle,0,Octavio Gomez (III),173,173,
116,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],748,Knows,Octavio Gomez,Octavio Gomez's Father,1,Octavio Gomez (III),174,174,
117,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],749,Knows,Octavio Gomez,Junior (Octavio Gomez's Brother),1,Octavio Gomez (III),174,175,
118,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],750,Knows,Octavio Gomez,Sixto (Octavio Gomez's Uncle),1,Octavio Gomez (III),174,176,
119,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],751,Knows,Octavio Gomez,Octavio Gomez's Mother,1,Octavio Gomez (III),174,175,
120,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],757,Exchange,Octavio Gomez,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",1,Octavio Gomez (III),175,175,
121,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],761,Knows,Octavio Gomez,Sylvia,1,Octavio Gomez (III),175,176,
122,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],762,Exchange,Octavio Gomez,Manny Gonzales,1,Octavio Gomez (III),175,178,
123,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],763,Exchange,Octavio Gomez,Daniel Gonzales,1,Octavio Gomez (III),175,178,
124,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],764,Knows,Octavio Gomez,Manny & Daniel's Dad,1,Octavio Gomez (III),175,176,
125,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],734,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Octavio Gomez's Father,1,Octavio Gomez (III),171,172,
126,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],735,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Sixto (Octavio Gomez's Uncle),1,Octavio Gomez (III),172,172,
127,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],737,Exchange,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Josefina's Father,1,Octavio Gomez (III),172,173,
128,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],739,Exchange,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Josefina's Mother,1,Octavio Gomez (III),172,173,
129,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],742,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Josefina's love interest,1,Octavio Gomez (III),172,173,
130,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],746,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Josefina's Uncle,1,Octavio Gomez (III),173,173,
131,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],758,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Manny Gonzales,1,Octavio Gomez (III),175,175,
132,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],759,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Daniel Gonzales,1,Octavio Gomez (III),175,175,
133,103,Octavio Gomez (III),level 2 (sub-section),171,186,Octavio Gomez,Octavio Gomez,[NULL],767,Knows,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",Octavio Gomez's Mother,1,Octavio Gomez (III),175,175,
134,84,Bill Davis (I),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],249,Knows,Bill Davis,Karen,1,Bill Davis (I),82,82,
