
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"1090","Knows of","Evelina Harp","Doctor Cordelia Lochren","0","The Baby","71","71"
"1094","Knows of","Evelina Harp","Frederic Vogeli","0","The Baby","71","71"
"1097","Knows of","Evelina Harp","Johann Vogeli","0","The Baby","71","71"
"1099","Knows of","Evelina Harp","Frederic Vogeli","0","Vogeli","71","72"
"1100","Knows of","Evelina Harp","Emil Buckendorf","0","Vogeli","71","72"
"1101","Knows of","Evelina Harp","Johann Vogeli's Late Mother","0","Vogeli","71","72"
"1103","Knows of","Evelina Harp","Johann Vogeli","0","Vogeli","71","72"
"1105","Knows of","Evelina Harp","Johann's Mother's Family in Heidelburg","0","Vogeli","71","71"
"1112","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","Vogeli","72","72"
"1124","Knows of","Evelina Harp","Quintus Fells","0","Vogeli","72","72"
"1125","Knows of","Evelina Harp","Colonel Benton Lungsford","0","Vogeli","72","72"
"1126","Knows of","Evelina Harp","Quintus Fells","0","Death Song","72","75"
"1127","Knows of","Evelina Harp","Colonel Benton Lungsford","0","Death Song","72","74"
"1128","Knows of","Evelina Harp","The Lynching","0","Vogeli","72","72"
"1134","Knows of","Evelina Harp","Eugene Wildstrand","0","Death Song","72","75"
"1135","Knows of","Evelina Harp","Emil Buckendorf","0","Death Song","72","75"
"1136","Knows of","Evelina Harp","Frederic Vogeli","0","Death Song","72","76"
"1137","Knows of","Evelina Harp","Johann Vogeli","0","Death Song","72","76"
"1138","Knows","Evelina Harp","Emil Buckendorf","0","Death Song","72","76"
"1139","Knows of","Evelina Harp","William Hotchkiss","0","Death Song","72","75"
"1140","Knows of","Evelina Harp","Oric Hoag","0","Death Song","72","74"
"1169","Knows of","Evelina Harp","The Lynching","0","Death Song","72","76"
"1210","Knows of","Evelina Harp","The Lochren Family","0","Death Song","74","74"
"1211","Knows of","Evelina Harp","The Lochren Murder","0","Death Song","73","74"
"1212","Knows of","Evelina Harp","Doctor Cordelia Lochren","0","Death Song","74","75"
"1213","Knows of","Evelina Harp","Holy Track","0","Death Song","74","76"
"1214","Knows of","Evelina Harp","Asiginak","0","Death Song","74","76"
"1215","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","Death Song","74","77"
"1216","Knows of","Evelina Harp","Cuthbert Peace","0","Death Song","74","76"
"1217","Knows of","Evelina Harp","Townsmen (involved in the lynching)","0","Death Song","73","76"
"1218","Knows of","Evelina Harp","Jabez Woods","0","Death Song","74","75"
"1219","Knows of","Evelina Harp","Henric Gostlin","0","Death Song","74","75"
"1220","Knows of","Evelina Harp","Enery Mantle","0","Death Song","74","75"
"1225","Knows of","Evelina Harp","The Bwaanag","0","Death Song","75","75"
"1232","Knows","Evelina Harp","Joseph Harp","1","Death Song","76","77"
"1243","Knows of","Evelina Harp","The Lochren Murder","0","The Baby","71","71"
"1254","Knows","Evelina Harp","Marn Wolde","1","The Clatter of Wings","77","77"
"1256","Knows of","Evelina Harp","Townsmen (involved in the lynching)","0","The Clatter of Wings","77","78"
"1257","Knows of","Evelina Harp","Enery Mantle","0","The Clatter of Wings","77","77"
"1258","Knows of","Evelina Harp","Emil Buckendorf","0","The Clatter of Wings","77","79"
"1260","Knows of","Evelina Harp","Holy Track","0","The Clatter of Wings","77","79"
"1261","Knows of","Evelina Harp","Cuthbert Peace","0","The Clatter of Wings","77","79"
"1262","Knows of","Evelina Harp","Asiginak","0","The Clatter of Wings","77","79"
"1267","Knows of","Evelina Harp","The Lynching","0","The Clatter of Wings","77","79"
"1275","Knows of","Evelina Harp","Severine Milk","0","The Clatter of Wings","78","78"
"1278","Knows of","Evelina Harp","Holy Track’s Mother","0","The Clatter of Wings","78","79"
"1282","Knows of","Evelina Harp","Holy Track's ""deydey""","0","The Clatter of Wings","78","78"
"1284","Knows of","Evelina Harp","Eugene Wildstrand","0","The Clatter of Wings","78","78"
"1294","Knows of","Evelina Harp","Henric Gostlin","0","The Clatter of Wings","78","78"
"1302","Knows of","Evelina Harp","The Lochren Family","1","The Clatter of Wings","78","78"
"1303","Knows of","Evelina Harp","The Lochren Murder","0","The Clatter of Wings","78","78"
"1309","Knows of","Evelina Harp","Doctor Cordelia Lochren","0","The Clatter of Wings","78","78"
"1320","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","Bitter Tea","80","80"
"1321","Knows","Evelina Harp","Joseph Harp","1","Bitter Tea","80","80"
"1322","Knows","Evelina Harp","Clemence Harp","1","Bitter Tea","80","80"
