label,width,height,font_size,label_radius
Pablo Escobar,195.00,30.00,25.0,98.65
Pablo Neruda,172.80,28.80,24.0,87.59
packers,100.80,28.80,24.0,52.42
Pancho Villa,187.20,31.20,26.0,94.89
Papa John Creach,230.40,28.80,24.0,116.10
Parents in the audience,345.00,30.00,25.0,173.15
Pasadena Señoras,240.00,30.00,25.0,120.93
Pasadena Tournament of Roses Association (Rose Par,750.00,30.00,25.0,375.30
Passenger in red Porsche,374.40,31.20,26.0,187.85
Pavarotti,135.00,30.00,25.0,69.15
Pedro Alvares Cabral,288.00,28.80,24.0,144.72
Pelé,60.00,30.00,25.0,33.54
People Below Emi,240.00,30.00,25.0,120.93
People from Tijuana,285.00,30.00,25.0,143.29
people in car jam,295.80,34.80,29.0,148.92
People in Traffic,255.00,30.00,25.0,128.38
Pepe Cortés,211.20,38.40,32.0,107.33
performance goer,240.00,30.00,25.0,120.93
person on the phone,285.00,30.00,25.0,143.29
person on the phone with Hernando,613.80,37.20,31.0,307.46
Peter Sellers,195.00,30.00,25.0,98.65
Philip Marlowe,210.00,30.00,25.0,106.07
Picasso,105.00,30.00,25.0,54.60
pickers,100.80,28.80,24.0,52.42
Pinochet,120.00,30.00,25.0,61.85
Placido Domingo,234.00,31.20,26.0,118.04
police,93.60,31.20,26.0,49.33
Police Chief,172.80,28.80,24.0,87.59
Politicos,135.00,30.00,25.0,69.15
Poor man on street,280.80,31.20,26.0,141.26
Porfirio Díaz,195.00,30.00,25.0,98.65
President of United States,390.00,30.00,25.0,195.58
Previous watch-owner,300.00,30.00,25.0,150.75
PRI,45.00,30.00,25.0,27.04
Producers,135.00,30.00,25.0,69.15
Public Health officials,345.00,30.00,25.0,173.15
Punks,75.00,30.00,25.0,40.39
Qris,60.00,30.00,25.0,33.54
Quentin Tarantino,255.00,30.00,25.0,128.38
Quetzalcoatl,180.00,30.00,25.0,91.24
Radio Listener,201.60,28.80,24.0,101.82
Rafaela Cortés,1394.40,199.20,166.0,704.28
Rafaela's Father,249.60,31.20,26.0,125.77
Rafaela's Great-Great-Grandfather,495.00,30.00,25.0,247.95
Rafaela's Mother,259.20,32.40,27.0,130.61
Rafaela's smugglers,285.00,30.00,25.0,143.29
Ray Charles,158.40,28.80,24.0,80.50
Raymond Chandler,259.20,32.40,27.0,130.61
Real (paying) people,300.00,30.00,25.0,150.75
Reclaim Our Children,300.00,30.00,25.0,150.75
Refugee Camp Guards,307.80,32.40,27.0,154.75
Refugees,139.20,34.80,29.0,71.74
Retsek (KPFK The Car Show),405.60,31.20,26.0,203.40
Ricardo Montalban,255.00,30.00,25.0,128.38
Rich Singaporeans,244.80,28.80,24.0,123.24
Richard Iizuka,210.00,30.00,25.0,106.07
Richard Sakai,195.00,30.00,25.0,98.65
Ridley Scott,172.80,28.80,24.0,87.59
Rikki Lake,150.00,30.00,25.0,76.49
Robert Altman,195.00,30.00,25.0,98.65
Robert McNeil,195.00,30.00,25.0,98.65
Robert Zemeckis,225.00,30.00,25.0,113.50
Rocky Balboa,180.00,30.00,25.0,91.24
Rodriguez,259.20,57.60,48.0,132.76
Rodriguez's middle son,343.20,31.20,26.0,172.31
Rodriguez's oldest son,356.40,32.40,27.0,178.93
