character_id,character_name,character_novel_id_fk
857,First girl (that Benjy assaults),9
858,Second girl (that Benjy assaults),9
859,Miss Quentin's suitors,9
860,Caddy's suitors,9
861,Luster's father,9
862,Quentin MacLachan,9
863,E Zvi's Narrator as character,5
864,School Authorities,9
865,Roger (Restaurant Owner),9
866,R Zvi's narrator as a character,7
867,RP Benjamin Compson,10
868,3rd Person Narrator as character (TSATF),9
869,Mr Dursley,11
870,Mrs Dursley,11
871,Dudley,11
872,Lily Potter,11
873,James Potter,11
874,Harry Potter,11
875,Dursley Neighbours,11
876,People in cloaks,11
877,Man in emerald green cloak,11
878,Professor McGonagall,11
879,five different people,11
880,Mr Dursley's secretary,11
881,man in violet cloak,11
882,bird-watchers everywhere,11
883,News reader Ted,11
884,Weatherman Jim McGuffin,11
885,Viewers,11
886,Experts,11
887,Dumbledore,11
888,Dedalus Diggle,11
889,Voldemort,11
890,Madam Pomfrey,11
891,'everyone' HP,11
892,Hagrid,11
893,Voldemort's victims,11
894,Muggles,11
895,Sirius Black,11
896,Mr. Bennet,12
897,Mrs. Bennet,12
898,Mrs. Long,12
899,Mr. Bingley,12
900,Mr. Morris,12
901,Sir William,12
902,Lady Lucas,12
903,Elizabeth Bennet,12
904,Jane Bennet,12
905,Lydia Bennet,12
906,Mary Bennet,12
907,Kitty Bennet,12
908,Claudia,13
909,Pauline Breedlove,13
910,Cholly Breedlove,13
911,Soaphead Church,13
912,Pecola Breedlove,13
913,Frieda,13
914,Mrs. MacTeer (Claudia's Mother),13
915,Mr. MacTeer (Claudia's Father),13
916,Mr. Henry,13
917,Mr. Buford,13
918,Rosemary Villanucci,13
919,Mrs. Dunion,13
920,The Maginot Line,13
921,China,13
922,Poland,13
923,Dick,13
924,Jane,13
925,Dick and Jane's Mother,13
926,Dick and Jane's Father,13
927,Dick and Jane's Friend,13
928,Pecola's Baby,13
929,Nuns,13
930,Drunken men,13
932,Rosemary Villanucci's Father,13
933,Grown-ups,13
934,Jesus (TBE),13
935,Claudia's Mother's Friends,13
936,Miss Della Jones,13
937,Miss Della Jones' Ex-Husband,13
938,Peggy,13
939,Old Slack Bessie,13
940,Hattie,13
941,Auntie Julia,13
942,Miss Della Jones' Sister,13
943,Greta Garbo,13
944,Ginger Rogers,13
945,Little Girl (Pauline looks after),13
946,Pauline's Siblings,13
947,Ada Williams,13
948,Fowler Williams,13
949,Presence (imagined by Pauline),13
950,Ivy,13
951,God (TBE),13
952,White People (TBE),13
953,"""Northern colored folk""",13
954,Women in town,13
955,Sammy Breedlove,13
956,Mrs. Fisher,13
957,Shirley Temple,13
958,"Bill ""Bojangles"" Robinson",13
959,Jane Withers,13
960,Older girls,13
961,All the world,13
962,Black women,13
963,White girls,13
964,Henry Ford,13
965,Franklin D. Roosevelt,13
966,Sandy Claus (TBE),13
967,Half-blind lady,13
968,People at the Greek hotel,13
969,Mildred,13
970,People (at the pizza parlor),13
971,Boys (at the pizza parlor),13
972,Realtor (owns the Breedlove's house),13
973,Mysterious All-Knowing Master,13
974,Darlene,13
975,White man (spirit lamp),13
976,White man (flashlight),13
977,Marie Appolonaire,13
978,Luke Angelino,13
979,Teachers,13
980,One of the girls at Pecola's school,13
981,Bobby,13
982,Miss Dunion,13
983,Mr. Yacobowski,13
984,Virgin Mary (TBE),13
985,Mary Jane,13
986,Miss Marie,13
987,Herbert Hoover,13
